CUST NO,XCOORD,YCOORD,DEMAND,READY TIME,DUE TIME,SERVICE TIME
1,118.8256285,31.883334499999997,0.0,0.0,230.0,0.0
2,118.81457179999998,31.8825906,10.0,161.0,171.0,10.0
3,118.80783159999999,31.8818317,7.0,50.0,60.0,10.0
4,118.8075857,31.8818036,13.0,116.0,126.0,10.0
5,118.82548590000002,31.8969305,19.0,149.0,159.0,10.0
6,118.82545630000001,31.8979,26.0,34.0,44.0,10.0
7,118.81355020000001,31.8956779,3.0,99.0,109.0,10.0
8,118.8180027,31.8959721,5.0,81.0,91.0,10.0
9,118.804,31.8949565,9.0,95.0,105.0,10.0
10,118.8053142,31.8950425,16.0,97.0,107.0,10.0
11,118.8055533,31.8950581,16.0,124.0,134.0,10.0
12,118.8055226,31.895436100000005,12.0,67.0,77.0,10.0
13,118.80526110000001,31.8979,19.0,63.0,73.0,10.0
14,118.8178956,31.8963163,23.0,159.0,169.0,10.0
15,118.8174456,31.8979,20.0,32.0,42.0,10.0
16,118.813404,31.8959036,8.0,61.0,71.0,10.0
17,118.81333300000001,31.8960132,19.0,75.0,85.0,10.0
18,118.81211040000001,31.8979,2.0,157.0,167.0,10.0
19,118.82529879999998,31.896508899999997,12.0,87.0,97.0,10.0
20,118.82554099999999,31.8892484,17.0,76.0,86.0,10.0
21,118.8255971,31.8832159,9.0,126.0,136.0,10.0
22,118.8256128,31.882443699999996,11.0,62.0,72.0,10.0
23,118.8256373,31.8817,18.0,97.0,107.0,10.0
24,118.82571999999999,31.8892588,29.0,68.0,78.0,10.0
25,118.8264,31.8892923,3.0,153.0,163.0,10.0
26,118.819621,31.8835338,6.0,172.0,182.0,10.0
27,118.8195241,31.8847423,17.0,132.0,142.0,10.0
28,118.804,31.8881186,16.0,37.0,47.0,10.0
29,118.8058963,31.8882173,16.0,39.0,49.0,10.0
30,118.8061303,31.888231199999996,9.0,63.0,73.0,10.0
31,118.8169851,31.8859365,21.0,71.0,81.0,10.0
32,118.8170793,31.884697600000003,27.0,50.0,60.0,10.0
33,118.8156707,31.886645399999995,23.0,141.0,151.0,10.0
34,118.8159852,31.884604100000004,11.0,37.0,47.0,10.0
35,118.8160312,31.884538899999995,14.0,117.0,127.0,10.0
36,118.8129524,31.886484799999998,8.0,143.0,153.0,10.0
37,118.813965,31.8854,5.0,41.0,51.0,10.0
38,118.8180285,31.885952500000002,8.0,134.0,144.0,10.0
39,118.81811409999999,31.8848239,16.0,83.0,93.0,10.0
40,118.8086905,31.8878488,31.0,44.0,54.0,10.0
41,118.80879240000002,31.8878545,9.0,85.0,95.0,10.0
42,118.80918020000001,31.8873519,5.0,97.0,107.0,10.0
43,118.8071021,31.887165999999997,5.0,31.0,41.0,10.0
44,118.8087353,31.887236699999995,7.0,132.0,142.0,10.0
45,118.80883519999999,31.887240999999996,18.0,69.0,79.0,10.0
46,118.8101108,31.887399100000003,16.0,32.0,42.0,10.0
47,118.81035990000002,31.887411,1.0,117.0,127.0,10.0
48,118.81055249999999,31.886621899999998,27.0,51.0,61.0,10.0
49,118.81047920000002,31.8861157,36.0,165.0,175.0,10.0
50,118.81984250000001,31.889836,30.0,108.0,118.0,10.0
51,118.8199403,31.8898409,13.0,124.0,134.0,10.0
52,118.82152690000001,31.889919800000005,10.0,88.0,98.0,10.0
53,118.8082044,31.882364799999998,9.0,52.0,62.0,10.0
54,118.8073615,31.884668199999997,14.0,95.0,105.0,10.0
55,118.80709750000001,31.8854662,18.0,140.0,150.0,10.0
56,118.80706409999998,31.888280100000003,2.0,136.0,146.0,10.0
57,118.8063872,31.890401,6.0,130.0,140.0,10.0
58,118.8060365,31.893841899999998,7.0,101.0,111.0,10.0
59,118.8059943,31.8946745,18.0,200.0,210.0,10.0
60,118.8092863,31.8928412,28.0,18.0,28.0,10.0
61,118.8087065,31.892361100000002,3.0,162.0,172.0,10.0
62,118.80857639999999,31.8912081,13.0,76.0,86.0,10.0
63,118.8233554,31.896022100000003,19.0,58.0,68.0,10.0
64,118.8232164,31.8943752,10.0,34.0,44.0,10.0
65,118.8093909,31.8950288,9.0,73.0,83.0,10.0
66,118.8094584,31.884448100000004,20.0,51.0,61.0,10.0
67,118.8109445,31.884249600000004,25.0,127.0,137.0,10.0
68,118.81189270000002,31.884303499999998,25.0,83.0,93.0,10.0
69,118.81281680000001,31.884356099999998,36.0,142.0,152.0,10.0
70,118.8140423,31.884425800000002,6.0,50.0,60.0,10.0
71,118.81486399999999,31.884472499999998,5.0,182.0,192.0,10.0
72,118.81696540000002,31.884592100000003,15.0,77.0,87.0,10.0
73,118.8101783,31.8950952,25.0,35.0,45.0,10.0
74,118.81188829999999,31.895201300000004,9.0,78.0,88.0,10.0
75,118.8154017,31.8954271,8.0,149.0,159.0,10.0
