from,to,distance
1,1,0.0
1,2,1049.0
1,3,1692.0
1,4,1716.0
1,5,1551.0
1,6,1658.0
1,7,2681.0
1,8,2166.0
1,9,10000.0
1,10,3270.0
1,11,3157.0
1,12,3199.0
1,13,3474.0
1,14,2205.0
1,15,2386.0
1,16,2652.0
1,17,2638.0
1,18,2877.0
1,19,1616.0
1,20,717.0
1,21,13.0
1,22,99.0
1,23,181.0
1,24,700.0
1,25,765.0
1,26,1626.0
1,27,1729.0
1,28,2623.0
1,29,2443.0
1,30,2421.0
1,31,1761.0
1,32,1623.0
1,33,1580.0
1,34,1398.0
1,35,1389.0
1,36,1768.0
1,37,1682.0
1,38,1810.0
1,39,1684.0
1,40,2188.0
1,41,2179.0
1,42,2145.0
1,43,2275.0
1,44,2120.0
1,45,2111.0
1,46,2180.0
1,47,2204.0
1,48,2305.0
1,49,2371.0
1,50,1552.0
1,51,1524.0
1,52,1589.0
1,53,1756.0
1,54,2026.0
1,55,2118.0
1,56,2348.0
1,57,2600.0
1,58,2983.0
1,59,3076.0
1,60,2708.0
1,61,2640.0
1,62,2505.0
1,63,1684.0
1,64,1499.0
1,65,3403.0
1,66,1807.0
1,67,1667.0
1,68,1571.0
1,69,1489.0
1,70,1372.0
1,71,1278.0
1,72,1478.0
1,73,2865.0
1,74,2703.0
1,75,2370.0
1,76,2107.0
1,77,1559.0
1,78,1390.0
1,79,1628.0
1,80,1889.0
1,81,993.0
1,82,854.0
1,83,2197.0
1,84,2188.0
1,85,2065.0
1,86,1946.0
1,87,1934.0
1,88,1352.0
1,89,1362.0
1,90,1195.0
1,91,1034.0
1,92,1135.0
1,93,1182.0
1,94,1286.0
1,95,1483.0
1,96,1495.0
1,97,2532.0
1,98,2542.0
1,99,1573.0
1,100,1586.0
1,101,1364.0
2,1,1100.0
2,2,0.0
2,3,642.0
2,4,666.0
2,5,2548.0
2,6,2655.0
2,7,2438.0
2,8,1924.0
2,9,10000.0
2,10,2220.0
2,11,2108.0
2,12,2150.0
2,13,2424.0
2,14,1963.0
2,15,2144.0
2,16,2410.0
2,17,2396.0
2,18,2635.0
2,19,2612.0
2,20,1680.0
2,21,1055.0
2,22,1140.0
2,23,1223.0
2,24,1697.0
2,25,1761.0
2,26,576.0
2,27,679.0
2,28,1573.0
2,29,1393.0
2,30,1371.0
2,31,711.0
2,32,574.0
2,33,530.0
2,34,348.0
2,35,339.0
2,36,719.0
2,37,633.0
2,38,760.0
2,39,634.0
2,40,1139.0
2,41,1129.0
2,42,1096.0
2,43,1225.0
2,44,1070.0
2,45,1061.0
2,46,1131.0
2,47,1154.0
2,48,1255.0
2,49,1321.0
2,50,1224.0
2,51,1196.0
2,52,1347.0
2,53,707.0
2,54,976.0
2,55,1068.0
2,56,1298.0
2,57,1550.0
2,58,1933.0
2,59,2026.0
2,60,1658.0
2,61,1590.0
2,62,1455.0
2,63,2182.0
2,64,1997.0
2,65,2353.0
2,66,757.0
2,67,617.0
2,68,521.0
2,69,439.0
2,70,322.0
2,71,229.0
2,72,428.0
2,73,2031.0
2,74,1869.0
2,75,1681.0
2,76,1865.0
2,77,2309.0
2,78,2161.0
2,79,1896.0
2,80,1647.0
2,81,1415.0
2,82,1554.0
2,83,1148.0
2,84,1138.0
2,85,1015.0
2,86,896.0
2,87,884.0
2,88,1093.0
2,89,1066.0
2,90,1213.0
2,91,1374.0
2,92,85.0
2,93,132.0
2,94,236.0
2,95,433.0
2,96,445.0
2,97,1628.0
2,98,1639.0
2,99,524.0
2,100,536.0
2,101,314.0
3,1,3132.0
3,2,2032.0
3,3,0.0
3,4,23.0
3,5,3425.0
3,6,3533.0
3,7,2246.0
3,8,2668.0
3,9,10000.0
3,10,1600.0
3,11,1487.0
3,12,1529.0
3,13,1803.0
3,14,2708.0
3,15,2888.0
3,16,2275.0
3,17,2289.0
3,18,2528.0
3,19,3361.0
3,20,3062.0
3,21,3087.0
3,22,3173.0
3,23,3255.0
3,24,3079.0
3,25,3143.0
3,26,2438.0
3,27,2331.0
3,28,930.0
3,29,750.0
3,30,728.0
3,31,2363.0
3,32,2226.0
3,33,1774.0
3,34,2000.0
3,35,1991.0
3,36,1505.0
3,37,1695.0
3,38,2412.0
3,39,2287.0
3,40,1024.0
3,41,1034.0
3,42,1125.0
3,43,941.0
3,44,1092.0
3,45,1102.0
3,46,1213.0
3,47,1237.0
3,48,1338.0
3,49,1404.0
3,50,2467.0
3,51,2440.0
3,52,2590.0
3,53,1497.0
3,54,1228.0
3,55,1136.0
3,56,817.0
3,57,1069.0
3,58,1385.0
3,59,1478.0
3,60,1497.0
3,61,1429.0
3,62,1294.0
3,63,3040.0
3,64,2855.0
3,65,1805.0
3,66,1414.0
3,67,1561.0
3,68,1650.0
3,69,1738.0
3,70,1803.0
3,71,1881.0
3,72,2080.0
3,73,2178.0
3,74,2016.0
3,75,2349.0
3,76,2612.0
3,77,3167.0
3,78,3020.0
3,79,2706.0
3,80,2445.0
3,81,2801.0
3,82,2940.0
3,83,967.0
3,84,977.0
3,85,1099.0
3,86,1219.0
3,87,1231.0
3,88,2441.0
3,89,2452.0
3,90,2599.0
3,91,2760.0
3,92,1946.0
3,93,1993.0
3,94,1888.0
3,95,1677.0
3,96,1689.0
3,97,1776.0
3,98,1765.0
3,99,1767.0
3,100,1598.0
3,101,1795.0
4,1,10000.0
4,2,10000.0
4,3,10000.0
4,4,0.0
4,5,10000.0
4,6,10000.0
4,7,10000.0
4,8,10000.0
4,9,10000.0
4,10,10000.0
4,11,10000.0
4,12,10000.0
4,13,10000.0
4,14,10000.0
4,15,10000.0
4,16,10000.0
4,17,10000.0
4,18,10000.0
4,19,10000.0
4,20,10000.0
4,21,10000.0
4,22,10000.0
4,23,10000.0
4,24,10000.0
4,25,10000.0
4,26,10000.0
4,27,10000.0
4,28,10000.0
4,29,10000.0
4,30,10000.0
4,31,10000.0
4,32,10000.0
4,33,10000.0
4,34,10000.0
4,35,10000.0
4,36,10000.0
4,37,10000.0
4,38,10000.0
4,39,10000.0
4,40,10000.0
4,41,10000.0
4,42,10000.0
4,43,10000.0
4,44,10000.0
4,45,10000.0
4,46,10000.0
4,47,10000.0
4,48,10000.0
4,49,10000.0
4,50,10000.0
4,51,10000.0
4,52,10000.0
4,53,10000.0
4,54,10000.0
4,55,10000.0
4,56,10000.0
4,57,10000.0
4,58,10000.0
4,59,10000.0
4,60,10000.0
4,61,10000.0
4,62,10000.0
4,63,10000.0
4,64,10000.0
4,65,10000.0
4,66,10000.0
4,67,10000.0
4,68,10000.0
4,69,10000.0
4,70,10000.0
4,71,10000.0
4,72,10000.0
4,73,10000.0
4,74,10000.0
4,75,10000.0
4,76,10000.0
4,77,10000.0
4,78,10000.0
4,79,10000.0
4,80,10000.0
4,81,10000.0
4,82,10000.0
4,83,10000.0
4,84,10000.0
4,85,10000.0
4,86,10000.0
4,87,10000.0
4,88,10000.0
4,89,10000.0
4,90,10000.0
4,91,10000.0
4,92,10000.0
4,93,10000.0
4,94,10000.0
4,95,10000.0
4,96,10000.0
4,97,10000.0
4,98,10000.0
4,99,10000.0
4,100,10000.0
4,101,10000.0
5,1,1525.0
5,2,2571.0
5,3,3214.0
5,4,3237.0
5,5,0.0
5,6,107.0
5,7,1196.0
5,8,760.0
5,9,10000.0
5,10,1965.0
5,11,1988.0
5,12,1895.0
5,13,2169.0
5,14,721.0
5,15,901.0
5,16,1167.0
5,17,1153.0
5,18,1392.0
5,19,64.0
5,20,869.0
5,21,1539.0
5,22,1624.0
5,23,1707.0
5,24,886.0
5,25,951.0
5,26,2032.0
5,27,1898.0
5,28,2882.0
5,29,2703.0
5,30,2680.0
5,31,2207.0
5,32,2070.0
5,33,2405.0
5,34,2174.0
5,35,2182.0
5,36,2505.0
5,37,2419.0
5,38,2096.0
5,39,1971.0
5,40,2499.0
5,41,2508.0
5,42,2599.0
5,43,2716.0
5,44,2567.0
5,45,2576.0
5,46,2688.0
5,47,2711.0
5,48,2812.0
5,49,2878.0
5,50,1486.0
5,51,1495.0
5,52,1645.0
5,53,3073.0
5,54,3002.0
5,55,2910.0
5,56,2592.0
5,57,2402.0
5,58,2785.0
5,59,2878.0
5,60,1909.0
5,61,1994.0
5,62,2124.0
5,63,1324.0
5,64,1508.0
5,65,3205.0
5,66,2801.0
5,67,2661.0
5,68,2571.0
5,69,2483.0
5,70,2366.0
5,71,2444.0
5,72,2091.0
5,73,1577.0
5,74,1415.0
5,75,1082.0
5,76,819.0
5,77,1451.0
5,78,1542.0
5,79,1371.0
5,80,1110.0
5,81,1145.0
5,82,1006.0
5,83,2441.0
5,84,2451.0
5,85,2574.0
5,86,2683.0
5,87,2671.0
5,88,1504.0
5,89,1515.0
5,90,1347.0
5,91,1186.0
5,92,2485.0
5,93,2470.0
5,94,2281.0
5,95,2402.0
5,96,2232.0
5,97,1642.0
5,98,1652.0
5,99,2310.0
5,100,2323.0
5,101,2358.0
6,1,10000.0
6,2,10000.0
6,3,10000.0
6,4,10000.0
6,5,10000.0
6,6,0.0
6,7,10000.0
6,8,10000.0
6,9,10000.0
6,10,10000.0
6,11,10000.0
6,12,10000.0
6,13,10000.0
6,14,10000.0
6,15,10000.0
6,16,10000.0
6,17,10000.0
6,18,10000.0
6,19,10000.0
6,20,10000.0
6,21,10000.0
6,22,10000.0
6,23,10000.0
6,24,10000.0
6,25,10000.0
6,26,10000.0
6,27,10000.0
6,28,10000.0
6,29,10000.0
6,30,10000.0
6,31,10000.0
6,32,10000.0
6,33,10000.0
6,34,10000.0
6,35,10000.0
